id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
752118894541630543,Cozy luxury brownstone w/ parking & yard,258664571,Vorakij,,SECOND WARD,42.64439384900326,-73.75975701534425,Entire home/apt,145,2,35,2024-02-19,2.76,2,0,34,
752337379205662422,Penthouse Brownstone w/ luxury amenities,258664571,Vorakij,,SECOND WARD,42.6444412,-73.75971410000001,Entire home/apt,145,2,28,2024-02-25,2.54,2,349,28,
756752556396798800,Private Room in the Center of the Albany,69729286,Musab,,SIXTH WARD,42.65259,-73.76732,Private room,50,3,14,2024-02-29,0.97,2,171,11,
757342235277207834,Grand Center Square Studio,188679144,Elizabeth,,SIXTH WARD,42.65534,-73.76461,Entire home/apt,70,7,10,2024-01-21,0.63,8,342,6,
757978037279611051,Charming location near universities & hospital,232967878,Diana,,THIRTEENTH WARD,42.67348,-73.7934,Entire home/apt,128,2,24,2024-02-25,1.89,22,0,21,
761141715827746314,"Great place in the heart of Albany, with Parking",37769478,Erion,,SIXTH WARD,42.65405,-73.76953,Entire home/apt,110,1,25,2024-03-06,1.66,8,361,18,
764508866835218670,Rest+Restore Room • Short & Extended Stay •,6203319,Melissa,,TENTH WARD,42.66117,-73.79091,Private room,75,1,8,2023-11-05,0.51,3,83,7,
774701102203414342,Entire cozy unit in Albany,261036923,Hasan,,FOURTEENTH WARD,42.6601,-73.80719,Entire home/apt,65,1,38,2024-03-02,2.61,1,252,29,
775645647912379518,Casa Coquette home away from home 2BDRM w/ office,115597810,Massi,,SIXTH WARD,42.6518469,-73.7642072,Entire home/apt,107,2,23,2024-02-19,1.57,1,44,17,
777068997424722137,Cozy Private Hideaway,442094566,Queen,,THIRD WARD,42.65725,-73.75065,Entire home/apt,100,1,46,2024-03-03,3.17,1,0,39,
782849454465952994,Quiet Apt near the Empire State Plaza,491607190,Abba,,SIXTH WARD,42.65183,-73.76594,Entire home/apt,110,1,10,2024-02-18,0.69,6,19,7,
784781397995494758,Private bedroom and private bath,491907850,Donna,,FOURTEENTH WARD,42.66298,-73.81361,Private room,60,1,11,2023-10-20,0.84,1,83,8,
786181179052991690,Lovely Junior 1BED,188679144,Elizabeth,,THIRD WARD,42.65653,-73.76223,Entire home/apt,,1,3,2024-01-27,0.42,8,364,3,
786228331433922432,Glam 1BR center square,188679144,Elizabeth,,SIXTH WARD,42.65322,-73.76249,Entire home/apt,,2,3,2024-02-18,0.56,8,364,3,
786316043239579100,Elegant newly renovated cozy smart apartment,253824490,Tomar & Kash,,FIFTH WARD,42.6591503133547,-73.75431932508945,Entire home/apt,105,2,31,2023-12-13,2.31,1,250,27,
787023821243442039,*The Allen House* NEW! Gorgeous Apt - Sleeps 8,349460842,Scott,,FOURTEENTH WARD,42.6653,-73.7943,Entire home/apt,185,1,50,2024-02-25,3.96,5,0,49,
788301415655396660,Spacious 2 bed w/parking,232967878,Diana,,SECOND WARD,42.64324,-73.75732,Entire home/apt,150,1,39,2024-02-25,2.68,22,0,34,
793223286704705121,Cozy & Boho One Bed Apartment,462767507,Joshua,,SIXTH WARD,42.65489,-73.77061,Entire home/apt,102,3,11,2023-12-02,0.84,4,345,10,
794723189688979530,Updated 3/1 unit for Professionals and Families,20144241,Carla,,FIFTH WARD,42.67283,-73.77367,Entire home/apt,104,3,6,2023-11-21,0.62,1,280,6,
795541666227926706,Victorian Mansion on Washington Park,493882819,Terra,,NINTH WARD,42.656329,-73.7752048,Private room,628,1,1,2023-08-13,0.14,6,300,1,
796231143904004713,Washington Park Inn - Room 4,493882819,Terra,,NINTH WARD,42.65582,-73.77541,Private room,122,1,7,2024-01-19,0.90,6,273,7,
